Year,Month,USD/ZAR
2020,January,14.3972
2020,February,15.0153
2020,March,16.6112
2020,April,18.576
2020,May,18.1426
2020,June,17.1332
2020,July,16.7714
2020,August,17.2308
2020,September,16.7158
2020,October,16.4613
2020,November,15.5487
2020,December,14.9058
2021,January,15.1255
2021,February,14.7521
2021,March,14.9867
2021,April,14.4079
2021,May,14.0602
2021,June,13.9167
2021,July,14.5329
2021,August,14.789
2021,September,14.5323
2021,October,14.8587
2021,November,15.5126
2021,December,15.8695
2022,January,15.4912
2022,February,15.2134
2022,March,14.9786
2022,April,14.9538
2022,May,15.9011
2022,June,15.7713
2022,July,16.8427
2022,August,16.6845
2022,September,17.5498
2022,October,18.1226
2022,November,17.4796
2022,December,17.2817
